DateTime,Amount,Region,DeviceType,IsAbroad,TxCountLastHour,IsNight
2025-02-01 10:09:00,9327.6,2,1,0,1,0
2025-02-01 00:08:00,9635.82,1,2,1,0,1
2025-02-01 12:57:00,9080.08,0,0,0,1,0
2025-02-01 11:05:00,2869.18,0,2,0,3,0
2025-02-01 20:04:00,1179.08,2,1,1,4,0
2025-02-01 20:03:00,757.35,1,2,1,8,0
2025-02-01 07:03:00,8530.46,1,1,1,4,0
2025-02-01 20:56:00,7452.08,2,2,0,7,0
2025-02-01 10:18:00,2966.29,0,1,0,8,0
2025-02-01 05:56:00,4689.41,0,2,1,4,1
2025-02-01 19:28:00,5259.55,0,0,0,7,0
2025-02-01 12:11:00,6795.51,1,1,0,7,0
2025-02-01 00:01:00,2426.72,1,2,1,4,1
2025-02-01 10:13:00,6865.44,2,2,0,3,0
2025-02-01 14:25:00,8964.08,2,2,0,7,0
